SMILES,IC50_log
COC1=C(CNCCO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C(F)C(=C4)F,4.02535169073515
CC1=C(CNC(CO)C(O)=O)C(=CC(=C1)OC(F)(F)C2=C(C)C(=CC=C2)C3=CC=C4OCCOC4=C3)OCC5=CC(=CC=C5)C#N,3.4657359027997265
CC1=C(CNC(CO)(CO)CO)C(=CC(=C1)OC(F)(F)C2=C(C)C(=CC=C2)C3=CC=C4OCCOC4=C3)OCC5=CC(=CC=C5)C#N,3.4339872044851463
CC(O)C(NCC1=C(C)C=C(OC(F)(F)C2=C(C)C(=CC=C2)C3=CC=C4OCCOC4=C3)C=C1OCC5=CC(=CC=C5)C#N)C(O)=O,3.9889840465642745
CC1=C(CNC(C)(CO)CO)C(=CC(=C1)OC(F)(F)C2=C(C)C(=CC=C2)C3=CC=C4OCCOC4=C3)OCC5=CC(=CC=C5)C#N,2.772588722239781
CC1=C(C=CC=C1C2=CC=C3OCCOC3=C2)C(F)(F)OC4=C(Cl)C=C(CNC(C)(CO)CO)C(=C4)OCC5=CC(=CC=C5)C#N,1.791759469228055
CC1=C(C=CC=C1C2=CC=C3OCCOC3=C2)C(F)(F)OC4=C(Cl)C=C(CNC(CO)(CO)CO)C(=C4)OCC5=CN=CC(=C5)C#N,1.791759469228055
CC1=C(C=CC=C1C2=CC=C3OCCOC3=C2)C(F)(F)OC4=C(Cl)C=C(CNC(CO)(CO)CO)C(=C4)OCC5=CC=NC(=C5)C#N,1.791759469228055
CC1=C(C=CC=C1C2=CC=C3OCCOC3=C2)C(F)(F)OC4=C(Cl)C=C(CN5CCCCC5C(O)=O)C(=C4)OCC6=CC=NC(=C6)C#N,1.0986122886681098
CC(=O)OCOC(=O)C1CCCCN1CC2=CC(=C(OC(F)(F)C3=C(C)C(=CC=C3)C4=CC=C5OCCOC5=C4)C=C2OCC6=CC=NC(=C6)C#N)Cl,3.367295829986474
CC1=C(C=CC=C1C2=CC=C3OCCOC3=C2)C(F)(F)OC4=C(Cl)C=C(CN5CCCCC5C(=O)NC6C(O)OC(CO)C(O)C6O)C(=C4)OCC7=CC=NC(=C7)C#N,3.367295829986474
CC1=C(C=CC=C1C2=CC=C3OCCOC3=C2)C(F)(F)OC4=C(Cl)C=C(CNC5C(O)OC(CO)C(O)C5O)C(=C4)OCC6=CC=NC(=C6)C#N,2.302585092994046
CC1=C(C=CC=C1C2=CC=C3OCCOC3=C2)C(F)(F)OC4=C(Cl)C=C(CNC(CO)C(O)C(O)C(O)CO)C(=C4)OCC5=CC=NC(=C5)C#N,1.9459101490553132
CC1=C(NC(=O)C2=CC(=C[N]3C=NN=C23)CNCCO)C=CC=C1C4=CC=CC=C4,6.597145701886651
CN(CCO)CC1=C[N]2C=NN=C2C(=C1)C(=O)NC3=C(C)C(=CC=C3)C4=CC=CC=C4,6.626717749249025
CN(CC(O)CO)CC1=C[N]2C=NN=C2C(=C1)C(=O)NC3=C(C)C(=CC=C3)C4=CC=CC=C4,5.924255797414532
